id,title,description,release_year,runtime,first_genre,second_genre,country,first_keyword,second_keyword,third_keyword,my_rating
tm473601,The Son,Painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.,2019,92,thriller,no_second-genre,AR,Son,Painter,Lorenzo,5.3999999999999995
tm475162,American Woman,"A political activist helps take care of a group of America’s most wanted fugitives — including a well-known, recently radicalized heiress — in this fictionalized reimagining of the Patty Hearst affair.",2019,85,drama,no_second-genre,CA,Woman,America,Patty,5.3
tm814734,Kidnapping Stella,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully-laid plans.",2019,89,crime,thriller,DE,Stella,Snatched,Kidnapping,5.179736005848842
tm912373,Jim Jefferies: Intolerant,"Between scenes from an excruciating date, Jim Jefferies digs into generational differences, his own bad habits and the shifting boundaries in comedy.",2020,66,comedy,no_second-genre,US,Jim,Jefferies,Intolerant,7.2
tm916997,Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,2020,93,comedy,music,US,Work,champions,brilliant,6.950757703005347
tm465408,Burning Cane,"Set among the cane fields of rural Louisiana, Burning Cane follows a deeply religious mother struggling to reconcile her convictions of faith with the love she has for her troubled son.",2019,77,drama,no_second-genre,US,Burning,Cane,Louisiana,5.741117505533795
tm826473,A Sun,"A family of four fractures under the weight of unmet expectations, unexpected tragedy, and uncompromising pride.",2019,155,crime,drama,TW,Sun,expectations,unexpected,7.639000000000001
tm932595,A Babysitter's Guide to Monster Hunting,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",2020,94,fantasy,family,US,Halloween,Guide,Hunting,6.124337458538649
tm454156,In Family I Trust,"Bea is a successful architect who lives in Barcelona (Catalonia, northeast to Spain) with her boyfriend and boss, Víctor, a CEO of an important company. During a night celebration of an important contract signed to make a skyscraper designed by Bea, in the bar appears the famous TV reporter and anchorwoman Rebecca Ramos, Victor's personal erotic fantasy. Not measuring the consequences of her actions due to the alcohol she drank, Bea makes a meeting between Víctor and Rebecca. When to the next day she wakes up, Víctor proposes to wed Bea and she accepts, but after she arrives to the job, Bea learns about a videotape where Víctor and Rebecca make the love in a car that it's in all TV channels. In front of all CEOs during a full meeting, Bea slaps Víctor and destroys her design, being fired from the job. Looking for a break, she travels her natal coastal town, Santa Clara, just to discover that her rest isn't so easy as it seems: her eccentric, free-spirited and eternal smiling mother ...",2019,94,romance,comedy,ES,Bea,Víctor,Catalonia,6.262899622918775
tm889679,Roped,A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.,2020,90,drama,romance,US,Roped,councilman,star,6.195453754667778
tm502151,A Remarkable Tale,A town at the edge of the missing take desperate measures to avoid it.,2019,93,comedy,drama,ES,Remarkable,Tale,town,5.64284295383235
tm927286,Making The Witcher,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series. Go behind the monsters, the ballads and every bit of magic that went into bringing The Witcher's Continent to life.",2020,37,documentation,no_second-genre,GB,Witcher,Journey,Jaskier,7.582164547344227
